,first_name,second_name,team,element_type,selected_by_percent,now_cost,minutes,transfers_in,points_per_game,value_season,chance_of_playing_this_round,chance_of_playing_next_round,transfers_in_event,transfers_out_event,news,news_added,influence,influence_rank,creativity,creativity_rank,threat,threat_rank,ict_index,ict_index_rank,status,total_points,position,overall_strength_home,overall_strength_away,strength_atk_home,strength_atk_away,strength_def_home,strength_def_away,file_date,total_time_played,value
89,Tariqe,Fosu-Henry,Brentford,3,0.0,51,16,2458,1.0,0.2,100.0,100.0,0,0,,2021-11-30T17:30:16.450591Z,5.2,492,4.8,450,21.0,398,3.1,475,a,1,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,17.77777777777778,0.2
90,David,Raya Martin,Brentford,1,4.6,44,2160,1150280,4.0,21.6,100.0,100.0,0,0,,2021-10-26T22:00:11.833421Z,593.4,83,10.0,440,0.0,574,60.1,269,a,95,Goalkeeper,1090,1100,1120,1150,1080,1120,2022-06-17,2400.0,21.6
91,Sergi,Canós,Brentford,3,1.0,55,2077,419588,2.6,14.7,100.0,0.0,0,0,Suspended until 13 Aug,2022-05-23T11:00:07.467170Z,386.4,190,283.6,149,439.0,102,111.0,130,s,81,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,2307.777777777778,14.7
92,Pelenda Joshua,Dasilva,Brentford,3,0.0,53,250,1242,0.8,1.3,100.0,100.0,0,0,,2022-04-01T13:30:14.052686Z,30.2,452,41.2,370,30.0,387,10.0,431,a,7,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,277.77777777777777,1.3
93,Rico,Henry,Brentford,2,1.2,45,2775,303575,3.2,24.0,100.0,100.0,0,0,,2022-01-14T14:30:11.680538Z,451.0,150,325.4,129,235.0,186,101.0,156,a,108,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,3083.333333333333,24.0
94,Vitaly,Janelt,Brentford,3,0.2,49,2295,60062,2.9,18.4,100.0,100.0,0,0,,2022-02-10T01:00:14.804449Z,460.6,144,331.1,124,400.0,113,119.0,113,a,90,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,2550.0,18.4
95,Saman,Ghoddos,Brentford,3,0.0,52,524,3276,1.8,5.8,0.0,100.0,0,0,,2022-04-28T17:30:20.401321Z,128.4,369,96.3,297,133.0,264,36.0,343,a,30,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,582.2222222222222,5.8
96,Mathias,Jensen,Brentford,3,0.0,49,1590,14419,1.7,11.0,100.0,100.0,0,0,,2022-02-19T20:00:13.551577Z,253.2,274,540.6,51,198.0,216,99.3,162,a,54,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,1766.6666666666667,11.0
97,Charlie,Goode,Brentford,2,1.1,39,448,341735,1.7,2.6,0.0,0.0,0,0,Joined Sheffield United on loan until the end of the season - Expected back 01 Jul,2021-12-22T23:30:17.959237Z,54.8,423,82.7,310,24.0,392,16.0,411,u,10,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,497.77777777777777,2.6
98,Marcus,Forss,Brentford,4,0.1,53,203,25518,1.6,2.1,0.0,0.0,0,0,Joined Hull City on loan until the end of the season - Expected back 01 Jul,2022-01-31T23:30:19.239414Z,20.8,465,12.5,427,55.0,352,8.7,441,u,11,Forward,1090,1100,1120,1150,1080,1120,2022-06-17,225.55555555555554,2.1
99,Mads,Roerslev Rasmussen,Brentford,2,0.2,41,1232,28459,2.0,10.0,100.0,100.0,0,0,,2021-12-27T17:30:14.481372Z,200.2,313,125.8,267,81.0,321,40.8,327,a,41,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,1368.888888888889,10.0
100,Mads,Bech Sørensen,Brentford,2,0.1,43,833,3881,2.0,5.1,100.0,100.0,0,0,,2021-08-25T08:00:07.948174Z,127.6,370,89.7,300,44.0,369,26.1,381,a,22,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,925.5555555555557,5.1
101,Ethan,Pinnock,Brentford,2,2.7,44,2694,858922,2.8,20.5,0.0,100.0,0,0,,2022-04-16T23:00:18.944099Z,648.8,66,151.7,239,335.0,132,113.5,124,a,90,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,2993.3333333333335,20.5
106,Bryan,Mbeumo,Brentford,3,1.9,52,2905,843273,3.4,22.9,100.0,100.0,0,0,,2022-02-05T20:30:16.333805Z,459.8,147,520.6,59,967.0,20,193.7,37,a,119,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,3227.777777777778,22.9
107,Mads,Bidstrup,Brentford,3,0.1,44,36,7635,1.0,0.9,0.0,0.0,0,0,Joined FC Nordsjælland on loan until the end of the season - Expected back 01 Jul,2022-01-31T13:00:12.379514Z,6.6,489,0.7,478,0.0,590,0.8,504,u,4,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,40.0,0.9
108,Frank,Onyeka,Brentford,3,0.1,49,1040,13501,1.8,7.1,75.0,100.0,0,0,,2022-04-08T15:30:12.332287Z,93.0,394,73.5,322,174.0,234,33.7,351,a,35,Midfielder,1090,1100,1120,1150,1080,1120,2022-06-17,1155.5555555555554,7.1
109,Kristoffer,Ajer,Brentford,2,0.7,44,1995,136468,3.4,18.4,100.0,100.0,0,0,,2022-03-06T00:00:12.514580Z,390.0,188,124.2,268,184.0,226,70.0,249,a,81,Defender,1090,1100,1120,1150,1080,1120,2022-06-17,2216.666666666667,18.4
